,HR,Team
0,151,Detroit Tigers
1,232,Toronto Blue Jays
2,139,Kansas City Royals
3,136,San Francisco Giants
4,186,Colorado Rockies
5,161,Boston Red Sox
6,154,Arizona Diamondbacks
7,120,Miami Marlins
8,140,Pittsburgh Pirates
9,172,Texas Rangers
10,141,Cleveland Indians
11,137,St. Louis Cardinals
12,167,Tampa Bay Rays
13,145,Milwaukee Brewers
14,100,Atlanta Braves
15,177,Washington Nationals
16,212,New York Yankees
17,146,Oakland Athletics
18,187,Los Angeles Dodgers
19,217,Baltimore Orioles
20,230,Houston Astros
21,136,Chicago White Sox
22,198,Seattle Mariners
23,130,Philadelphia Phillies
24,167,Cincinnati Reds
25,156,Minnesota Twins
26,176,Los Angeles Angels
27,177,New York Mets
28,171,Chicago Cubs
29,148,San Diego Padres
