,HR,Team
0,151,Detroit Tigers
1,232,Toronto Blue Jays
2,139,Kansas City Royals
3,161,Boston Red Sox
4,172,Texas Rangers
5,141,Cleveland Indians
6,167,Tampa Bay Rays
7,212,New York Yankees
8,146,Oakland Athletics
9,217,Baltimore Orioles
10,230,Houston Astros
11,136,Chicago White Sox
12,198,Seattle Mariners
13,156,Minnesota Twins
14,176,Los Angeles Angels
0,136,San Francisco Giants
1,186,Colorado Rockies
2,154,Arizona Diamondbacks
3,120,Miami Marlins
4,140,Pittsburgh Pirates
5,137,St. Louis Cardinals
6,145,Milwaukee Brewers
7,100,Atlanta Braves
8,177,Washington Nationals
9,187,Los Angeles Dodgers
10,130,Philadelphia Phillies
11,167,Cincinnati Reds
12,177,New York Mets
13,171,Chicago Cubs
14,148,San Diego Padres
