,HR,Team
0,20,Kansas City Royals
1,23,Detroit Tigers
2,21,Texas Rangers
3,31,New York Yankees
4,27,Seattle Mariners
5,27,Minnesota Twins
6,26,Houston Astros
7,34,Toronto Blue Jays
8,16,Boston Red Sox
9,30,Baltimore Orioles
10,19,Tampa Bay Rays
11,17,Oakland Athletics
12,18,Cleveland Indians
13,13,Chicago White Sox
14,33,Los Angeles Angels
0,32,Colorado Rockies
1,16,Arizona Diamondbacks
2,18,Miami Marlins
3,27,Milwaukee Brewers
4,15,San Francisco Giants
5,25,Cincinnati Reds
6,24,Washington Nationals
7,12,Atlanta Braves
8,14,Pittsburgh Pirates
9,13,St. Louis Cardinals
10,25,Los Angeles Dodgers
11,24,New York Mets
12,21,San Diego Padres
13,8,Philadelphia Phillies
14,19,Chicago Cubs
