,AVG,Player,Pos
0,1.000,"Kratz, E",C
1,.571,"Andujar, M",3B
2,.333,"Pineda, M",P
3,.326,"Cooper, G",1B
4,.300,"Castro, S",2B
5,.292,"Torreyes, R",2B
6,.287,"Gregorius, D",SS
7,.284,"Judge, A",RF
8,.278,"Sanchez, G",C
9,.273,"Headley, C",3B
10,.267,"Choi, J",1B
11,.266,"Hicks, A",CF
12,.264,"Gardner, B",LF
13,.264,"Ellsbury, J",CF
14,.250,"Williams, M",RF
15,.231,"Frazier, C",LF
16,.231,"Holliday, M",DH
17,.225,"Austin, T",1B
18,.222,"Frazier, T",3B
19,.218,"Romine, A",C
20,.201,"Carter, C",1B
21,.200,"Severino, L",P
22,.190,"Bird, G",1B
23,.155,"Wade, T",SS
24,.135,"Refsnyder, R",1B
25,.111,"Kozma, P",SS
26,.000,"Garcia, J",P
27,.000,"Higashioka, K",C
28,.000,"Montgomery, J",P
29,.000,"Sabathia, C",P
30,.000,"Shreve, C",P
31,.000,"Tanaka, M",P
32,.---,"Betances, D",P
33,.---,"Chapman, A",P
34,.---,"Clippard, T",P
35,.---,"Fowler, D",CF
36,.---,"Green, C",P
37,.---,"Holder, J",P
38,.---,"Kahnle, T",P
39,.---,"Layne, T",P
40,.---,"Mitchell, B",P
41,.---,"Robertson, D",P
42,.---,"Smith, C",P
43,.---,"Warren, A",P
