,Unnamed: 0,Author,Comments,Date,Ratings,Reviews,Title
0,0,CS McCulloh,Was this review helpful to you?, April 13 2018,5.0 out of 5 stars,Really good for the price.,Five Stars
1,1,ED Stoeckel,Was this review helpful to you?, April 12 2018,5.0 out of 5 stars,They both work great. Can adjust beam very easily. Fast shipping,Five Stars
2,2,Amazon Customer,Was this review helpful to you?, April 12 2018,1.0 out of 5 stars,The 1st flashlight I used at work fell apart in my pocket.The barrel that focuses the light stripped out the inner threads.I will try the 2nd light this week.,Flash lights
3,3,CMill,Was this review helpful to you?, April 12 2018,5.0 out of 5 stars,I ordered these to put in our camper for a light that didn't require a lot of room. These are perfect and give off light exactly what as I wanted. I would buy them again.,Perfect for camping
4,4,Amazon Customer,Was this review helpful to you?, April 12 2018,5.0 out of 5 stars,This flashlight is exactly what I wanted.,Five Stars
5,5,H Tims,Was this review helpful to you?, April 12 2018,5.0 out of 5 stars,"Really great flashlights. Well made, bright light! A great buy!",A GREAT BUY
6,6,ST Harris,Was this review helpful to you?, April 11 2018,5.0 out of 5 stars,Good little well made flashlight. Can't beat them for the price. They make nice gifts.,Good Quality
7,7,Chazz,Was this review helpful to you?, April 11 2018,2.0 out of 5 stars,Because they were $4 each that got them one star. Because they worked they got another. Because they did not work properly two stars is all they are worth.,Not worth a 3star review.
8,8,Gene H.,Was this review helpful to you?, April 11 2018,5.0 out of 5 stars,"We were looking for a decent flashlight for outdoor use - primary in the back yard to spot the pets or other critters. I took a shot at these since they were on sale. They arrived and we kinda laughed thinking they wouldn't do the job.

We were wrong. Our back yard goes back 80 feet or so. This thing lights it up in spot mode or the more open mode. It's great. I'll be picking up a couple more.",Great range for a small package
9,9,Cwazy Wabbit,Was this review helpful to you?, April 11 2018,5.0 out of 5 stars,"Very nice, works great",Five Stars
0,0,S. E. Jelliff,Was this review helpful to you?, April 11 2018,5.0 out of 5 stars,"These are sturdy little flashlights that we plan to use in our kayaks in case we need a light. They are a lot sturdier than I would have thought for the price, and they have the flashing lights that would be of use if we find ourselves stranded out at night.",Sturdy little lights
1,1,JG123,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"EXCELLENT FLASHLIGHT ! Not sure exactly what people ,who wrote a 2 paragraph review, were expecting from a $5 flashlight !?",Five Stars
2,2,Jerome Bledsoe,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"This is the 2nd set of RockBirds I have purchased! Love this product! Sturdy, powerful beam, lightweight an compact!",Love this product
